Customer,Claim Amount ,Coverage,Education,Employment Status,Gender,Annual Income ($),Location Category,Marital Status,Age,Monthly Premium,Months Since Last Claim,Vehicle Size,Reported to Police?,Witness Details provided?,Weekend?,Car driveable?,"Fraud Detected? Yes=1, No=0"
FL50705,"8,163",Premium,High School or Below,Employed,F,66140,Suburban,Married,30,127,11,Small,n,n,n,y,0
ZK25313,"2,872",Basic,High School or Below,Employed,M,57749,Suburban,Single,45,74,31,Medsize,n,y,n,y,0
SV62436,"3,042",Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,18,99,8,Medsize,n,y,n,y,1
YH23384,"24,128",Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,31,101,13,Medsize,n,y,n,y,0
TZ98966,"2,450",Basic,Bachelor,Unemployed,F,0,Suburban,Single,17,91,4,Medsize,y,y,n,y,1
HM55802,"2,392",Basic,Bachelor,Disabled,F,17870,Suburban,Married,47,29,30,Medsize,n,y,n,y,0
FS42516,"5,802",Basic,College,Employed,M,97541,Suburban,Married,48,76,22,Large,n,y,n,n,0
US89481,"3,946",Premium,Bachelor,Unemployed,F,0,Suburban,Single,35,125,15,Small,n,y,n,y,0
HO30839,"5,347",Extended,Master,Disabled,F,10511,Urban,Married,41,109,33,Medsize,y,y,n,y,0
GE62437,"12,903",Premium,College,Employed,F,86584,Suburban,Single,59,107,33,Large,n,y,n,y,0
EJ77678,"3,235",Extended,Master,Employed,F,75690,Suburban,Married,43,72,17,Small,n,y,n,y,0
SV85652,"2,455",Basic,College,Employed,M,23158,Suburban,Married,26,109,4,Small,n,n,n,y,0
UL64533,"18,975",Extended,High School or Below,Employed,M,65999,Urban,Married,23,271,1,Medsize,n,y,n,y,0
PF41800,"4,715",Basic,Bachelor,Unemployed,M,0,Urban,Married,31,73,19,Medsize,n,y,n,y,1
AO98601,"5,019",Basic,Bachelor,Employed,M,54500,Suburban,Married,35,69,28,Small,n,y,n,y,0
SK67821,"4,933",Basic,Bachelor,Employed,F,37260,Rural,Married,35,58,19,Medsize,n,y,n,y,0
YV55495,"5,744",Basic,High School or Below,Employed,F,68987,Urban,Married,35,109,11,Medsize,n,y,y,y,0
KY38074,"13,892",Premium,Bachelor,Employed,M,42305,Suburban,Married,33,129,10,Small,n,y,n,y,0
DM79012,"7,381",Extended,Master,Employed,F,65706,Suburban,Married,46,89,19,Small,n,y,n,y,0
CM61827,"3,090",Extended,Bachelor,Unemployed,M,0,Suburban,Single,20,136,7,Small,n,n,n,y,1
WC35801,"2,522",Basic,High School or Below,Employed,M,53243,Rural,Divorced,17,112,4,Medsize,n,y,n,y,0
QG25316,"2,652",Basic,High School or Below,Unemployed,F,0,Suburban,Married,28,116,7,Medsize,y,y,n,y,1
MB98372,"2,771",Basic,College,Employed,F,50071,Rural,Single,23,117,3,Medsize,y,y,y,n,0
IL19217,"3,939",Extended,Bachelor,Employed,F,60021,Suburban,Married,19,131,12,Small,n,n,n,y,1
SR38658,"12,232",Basic,High School or Below,Employed,M,43244,Suburban,Married,30,117,15,Medsize,n,y,y,y,0
DH41343,"2,444",Basic,College,Employed,M,92834,Suburban,Married,22,75,15,Large,n,n,n,y,0
HG65722,"12,819",Premium,Doctor,Disabled,F,10105,Rural,Married,24,200,5,Medsize,n,y,n,y,0
BU27331,"4,469",Basic,Bachelor,Unemployed,M,0,Suburban,Single,17,93,7,Medsize,y,y,n,y,1
XM45289,"5,514",Basic,High School or Below,Employed,F,23218,Suburban,Single,31,89,7,Medsize,n,y,n,y,0
KP34198,"3,344",Extended,Bachelor,Unemployed,F,0,Suburban,Married,34,108,11,Medsize,y,y,y,y,0
SH90947,"2,294",Basic,High School or Below,Unemployed,F,0,Suburban,Married,27,82,11,Medsize,n,y,n,y,1
WE95729,"36,707",Basic,College,Employed,M,24804,Suburban,Married,17,132,1,Small,y,y,n,y,0
PY51963,"33,473",Basic,Bachelor,Employed,F,33190,Suburban,Divorced,33,120,18,Medsize,n,y,n,y,0
RB69909,"7,983",Basic,High School or Below,Employed,F,36014,Rural,Married,27,107,4,Medsize,n,y,n,y,0
XR95069,"4,855",Basic,Bachelor,Employed,M,29834,Suburban,Single,42,72,19,Medsize,n,y,y,y,0
FR46645,"4,294",Premium,Bachelor,Disabled,M,16701,Suburban,Married,37,135,20,Small,y,y,n,n,1
SY17488,"7,164",Extended,College,Employed,F,46623,Suburban,Divorced,17,137,1,Small,n,y,n,y,1
AP67935,"7,620",Basic,College,Employed,M,64749,Urban,Married,35,46,24,Medsize,y,y,n,y,0
FS37417,"3,958",Basic,High School or Below,Unemployed,F,0,Suburban,Married,54,75,29,Small,n,y,n,y,0
ML29312,"4,499",Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,54,104,34,Medsize,n,y,y,y,0
UB61619,"4,060",Premium,Master,Disabled,F,11621,Suburban,Divorced,23,154,4,Medsize,n,y,n,y,1
CD86811,"4,458",Basic,Bachelor,Retired,M,17622,Suburban,Divorced,17,97,1,Medsize,n,n,n,y,1
RU83859,"8,110",Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,30,147,4,Small,y,y,n,y,0
FG63582,"3,340",Extended,Bachelor,Unemployed,M,0,Suburban,Single,46,96,20,Small,y,y,y,y,0
NN71951,"24,261",Basic,High School or Below,Employed,F,66525,Rural,Married,17,146,0,Medsize,n,y,n,y,1
WB37082,"6,614",Basic,Bachelor,Unemployed,F,0,Suburban,Single,30,87,21,Large,n,n,n,n,0
SM52139,"2,931",Basic,College,Employed,M,33663,Suburban,Married,50,81,29,Medsize,y,y,n,y,0
FL82372,"8,672",Basic,College,Employed,F,22547,Suburban,Divorced,32,146,7,Medsize,y,y,n,y,0
DP45816,"11,639",Extended,High School or Below,Employed,F,61486,Urban,Married,28,117,5,Small,y,y,y,y,0
GW33762,"6,846",Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,22,103,13,Large,y,y,n,y,0
RZ33670,"11,728",Premium,College,Disabled,F,29879,Suburban,Married,25,132,17,Medsize,n,y,y,y,0
PY70169,"22,644",Basic,High School or Below,Employed,M,93011,Rural,Divorced,27,109,17,Medsize,n,y,n,y,0
MO91628,"2,614",Basic,Master,Employed,M,65186,Rural,Married,46,37,29,Large,n,y,y,y,0
HW87852,"2,452",Basic,Master,Medical Leave,M,26840,Suburban,Married,17,110,1,Medsize,y,n,n,y,1
HB20453,"6,781",Basic,Bachelor,Unemployed,M,0,Suburban,Single,46,106,30,Medsize,n,n,n,y,0
BN87372,"4,975",Basic,Bachelor,Employed,M,75644,Suburban,Divorced,22,111,5,Medsize,n,y,n,y,0
YX23800,"8,592",Basic,Bachelor,Employed,M,38984,Suburban,Married,53,49,27,Small,n,y,n,y,0
DZ87709,"5,592",Basic,High School or Below,Employed,F,71811,Rural,Single,29,89,17,Medsize,n,y,n,y,0
XW13033,"8,009",Basic,College,Employed,M,20961,Suburban,Married,35,55,20,Medsize,n,y,n,y,0
LN31673,"11,318",Extended,College,Employed,M,38923,Rural,Married,19,143,6,Medsize,y,y,y,y,0
OM82309,"58,167",Basic,Bachelor,Employed,M,61321,Rural,Single,17,232,0,Small,y,y,n,y,0
ZU35962,"8,025",Extended,College,Unemployed,F,0,Rural,Single,45,69,20,Large,y,y,n,y,0
VH85817,"5,780",Basic,High School or Below,Employed,M,51066,Suburban,Single,39,76,23,Medsize,y,y,n,y,0
DT85712,"4,119",Basic,Doctor,Employed,M,34378,Suburban,Married,24,142,12,Medsize,y,y,n,y,0
YJ88573,"2,523",Basic,Master,Employed,M,43072,Suburban,Married,49,37,35,Large,n,y,y,y,0
SQ19467,"6,554",Extended,College,Disabled,F,25222,Suburban,Single,54,70,28,Small,n,y,n,y,0
HF88410,"7,703",Basic,High School or Below,Employed,M,36765,Suburban,Married,41,98,15,Medsize,y,y,n,y,0
ET79815,"5,927",Extended,College,Retired,M,23091,Suburban,Married,35,84,28,Medsize,n,y,n,y,0
QC35222,"2,683",Basic,Bachelor,Employed,F,48269,Urban,Married,19,99,3,Medsize,n,y,n,y,1
CJ15590,"2,695",Basic,Bachelor,Employed,F,32720,Suburban,Divorced,35,91,13,Medsize,n,y,y,y,1
OI48267,"6,047",Extended,College,Employed,M,20396,Suburban,Married,24,88,15,Medsize,y,n,n,y,0
JY67916,"13,171",Premium,College,Medical Leave,M,21513,Suburban,Married,39,135,21,Small,y,y,n,y,0
OE75231,"10,657",Extended,Bachelor,Employed,F,72540,Suburban,Married,24,134,7,Medsize,n,n,y,y,1
CZ33664,"2,528",Basic,Bachelor,Employed,F,80744,Rural,Married,45,41,24,Medsize,n,n,n,n,0
WK30175,"2,672",Basic,Bachelor,Employed,M,52822,Suburban,Married,34,57,23,Small,n,y,n,y,0
ON44465,"5,313",Extended,High School or Below,Unemployed,F,0,Suburban,Single,32,99,8,Medsize,n,y,n,y,1
TV87155,"20,946",Basic,Bachelor,Employed,F,69738,Suburban,Married,26,102,2,Large,y,n,n,y,0
KH48895,"8,375",Basic,Master,Medical Leave,F,17780,Rural,Married,20,137,12,Medsize,n,y,n,y,0
NZ30757,"4,802",Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,50,44,29,Medsize,y,n,n,y,0
RI22468,"5,746",Basic,Bachelor,Employed,F,57740,Urban,Married,51,40,30,Medsize,y,y,y,y,0
FZ30935,"6,066",Extended,College,Employed,M,32627,Suburban,Married,21,82,11,Small,n,y,n,y,0
UG93476,"8,002",Basic,College,Unemployed,F,0,Suburban,Married,17,127,3,Medsize,n,y,n,y,0
AB96670,"2,394",Basic,College,Unemployed,M,0,Suburban,Single,37,74,24,Medsize,y,y,n,y,0
XK64261,"4,763",Basic,Bachelor,Employed,M,65795,Rural,Single,17,108,2,Medsize,n,y,n,y,1
EV68375,"4,330",Premium,College,Employed,M,60475,Suburban,Married,24,139,9,Medsize,n,n,n,y,0
UN51653,"9,403",Extended,High School or Below,Unemployed,F,0,Suburban,Single,52,138,28,Medsize,y,y,n,y,0
TO96662,"6,967",Extended,Bachelor,Employed,F,41837,Rural,Married,41,60,29,Small,y,y,y,y,0
MR52087,"7,694",Basic,Bachelor,Employed,F,32303,Rural,Married,26,89,13,Medsize,y,y,n,y,0
DE75225,"8,718",Basic,High School or Below,Unemployed,M,0,Suburban,Married,21,155,5,Medsize,n,n,n,y,1
EP80820,"5,929",Basic,Bachelor,Employed,F,40531,Rural,Married,38,92,17,Medsize,y,y,n,y,0
GU99037,"2,453",Basic,College,Employed,M,79898,Urban,Married,30,98,5,Medsize,y,y,n,y,0
WI57118,"6,702",Extended,College,Employed,M,56398,Suburban,Married,31,129,4,Small,n,y,n,y,0
YQ74870,"7,556",Extended,High School or Below,Employed,M,35257,Suburban,Divorced,27,132,16,Small,n,n,n,y,0
MQ14219,"8,493",Basic,College,Employed,M,27804,Suburban,Married,45,109,19,Medsize,n,y,n,y,0
KN20603,"7,713",Basic,Bachelor,Employed,M,45506,Suburban,Single,29,80,16,Medsize,n,y,n,n,0
CR48975,"24,085",Basic,High School or Below,Employed,M,65196,Suburban,Married,23,109,0,Medsize,n,y,n,y,0
JI70886,"7,290",Basic,High School or Below,Unemployed,M,0,Suburban,Married,33,146,11,Medsize,n,y,n,y,0
VF72557,"4,773",Extended,High School or Below,Retired,M,20993,Suburban,Divorced,59,95,35,Medsize,n,y,n,y,0
OX28638,"6,806",Extended,High School or Below,Employed,M,37839,Suburban,Married,43,54,35,Medsize,n,n,n,n,0
SK55033,"2,470",Basic,Bachelor,Employed,F,92711,Suburban,Single,39,80,24,Medsize,y,y,n,y,0
OO88645,"3,104",Extended,College,Employed,F,74665,Urban,Married,22,120,10,Medsize,n,y,n,y,0
YT36855,"2,982",Extended,College,Unemployed,M,0,Suburban,Married,35,63,26,Medsize,n,y,y,y,0
CW82151,"8,903",Basic,Bachelor,Employed,M,46833,Rural,Married,28,142,6,Medsize,n,y,n,y,0
DY22043,"5,499",Basic,High School or Below,Employed,F,88768,Suburban,Married,44,98,17,Small,n,y,y,y,0
SH36774,"15,024",Basic,High School or Below,Employed,M,28262,Suburban,Single,23,218,9,Medsize,y,y,n,y,0
EM43724,"2,509",Basic,Bachelor,Employed,F,33555,Rural,Married,35,55,17,Medsize,n,n,n,y,0
FH85960,"31,222",Premium,College,Employed,M,42780,Suburban,Divorced,34,125,10,Medsize,n,n,n,y,0
XA55993,"3,134",Extended,Master,Employed,F,58850,Rural,Single,27,96,20,Medsize,y,y,n,y,0
GO36627,"3,837",Extended,College,Employed,M,21880,Urban,Married,38,97,29,Medsize,y,n,n,y,0
QH48047,"11,790",Basic,College,Retired,M,25251,Suburban,Divorced,24,70,13,Medsize,y,n,n,y,0
RB50392,"7,838",Basic,Master,Unemployed,F,0,Rural,Married,26,91,9,Medsize,y,n,n,y,0
UH65059,"4,306",Basic,High School or Below,Employed,M,24188,Suburban,Married,36,121,14,Medsize,n,y,n,y,1
FV21968,"5,974",Basic,Bachelor,Employed,F,41611,Rural,Married,35,110,14,Medsize,y,y,n,y,0
QA87025,"5,670",Basic,Bachelor,Employed,F,28406,Urban,Married,34,84,16,Medsize,y,y,n,y,0
TQ13499,"4,732",Premium,College,Employed,M,69833,Suburban,Married,53,96,32,Small,y,n,n,y,0
BU44523,"8,026",Basic,High School or Below,Unemployed,F,0,Suburban,Single,37,76,15,Small,n,y,n,y,0
MS41162,"4,023",Basic,High School or Below,Unemployed,M,0,Suburban,Single,32,137,6,Medsize,n,y,y,y,1
PU25891,"9,618",Basic,High School or Below,Employed,F,80536,Rural,Married,30,139,5,Medsize,n,y,n,y,0
RB81636,"2,275",Basic,College,Unemployed,F,0,Suburban,Single,17,103,2,Small,n,y,n,n,1
SX26335,"9,553",Extended,College,Employed,F,97732,Urban,Married,23,121,0,Medsize,n,n,n,y,0
AZ95587,"10,389",Extended,Bachelor,Employed,F,61222,Urban,Single,28,79,20,Small,y,n,n,y,0
DS81757,"2,470",Basic,College,Unemployed,M,0,Suburban,Single,27,104,7,Large,n,y,n,y,1
OJ94107,"5,619",Premium,Master,Employed,M,50335,Urban,Married,30,168,9,Medsize,y,y,n,y,0
LP84436,"9,047",Extended,High School or Below,Unemployed,F,0,Suburban,Single,53,109,30,Medsize,n,y,n,y,0
YV64727,"6,692",Premium,High School or Below,Employed,M,63221,Suburban,Married,41,152,28,Medsize,y,y,n,y,0
LM19287,"3,732",Extended,High School or Below,Unemployed,F,0,Suburban,Married,53,70,31,Large,n,y,n,y,0
ZU18643,"3,661",Extended,Bachelor,Employed,M,64495,Urban,Married,49,64,34,Medsize,y,y,n,y,0
AZ82578,"7,929",Basic,College,Unemployed,F,0,Suburban,Married,32,92,7,Medsize,y,y,n,y,0
XC67861,"5,012",Basic,Bachelor,Employed,F,28859,Suburban,Divorced,32,77,24,Medsize,n,y,n,y,0
YC43143,"7,988",Extended,High School or Below,Employed,F,77330,Rural,Married,21,145,0,Medsize,y,y,n,y,0
EK59571,"3,885",Premium,College,Unemployed,M,0,Suburban,Married,17,147,3,Large,n,n,n,n,1
GD83998,"2,659",Basic,Bachelor,Employed,M,24495,Suburban,Single,54,72,29,Small,n,y,n,y,0
WA25797,"8,565",Basic,High School or Below,Employed,M,95697,Rural,Married,42,91,29,Medsize,n,y,n,n,0
PD27940,"4,885",Extended,High School or Below,Disabled,M,26372,Suburban,Married,34,142,11,Medsize,n,y,n,y,0
BS77946,"9,753",Extended,Bachelor,Medical Leave,F,17514,Rural,Married,28,173,2,Medsize,y,y,n,y,0
YM50253,"2,946",Basic,Bachelor,Employed,F,89270,Urban,Single,28,78,17,Medsize,y,y,n,y,0
NR15332,"2,581",Basic,High School or Below,Employed,M,29757,Suburban,Married,29,95,13,Small,n,y,n,y,0
RC62865,"3,517",Extended,College,Employed,M,51814,Rural,Single,43,66,28,Medsize,y,y,n,y,0
CC15295,"9,743",Extended,Bachelor,Employed,F,24028,Suburban,Married,27,110,14,Small,n,y,n,y,0
KA61892,"3,874",Basic,College,Retired,M,28142,Suburban,Married,38,125,18,Medsize,n,y,n,y,1
OS94884,"7,649",Basic,Bachelor,Employed,F,52705,Rural,Married,41,80,14,Large,n,y,n,y,0
ND87334,"2,288",Basic,High School or Below,Unemployed,M,0,Suburban,Married,26,109,1,Medsize,n,y,n,y,1
ML93326,"4,475",Basic,College,Employed,F,84903,Urban,Married,21,157,7,Medsize,y,y,y,y,1
YL74911,"8,715",Basic,College,Unemployed,F,0,Suburban,Divorced,26,126,14,Medsize,n,y,n,y,0
JP69864,"2,248",Basic,Bachelor,Retired,F,24910,Suburban,Single,29,77,7,Medsize,y,y,n,y,1
HL53154,"7,416",Extended,Bachelor,Unemployed,M,0,Suburban,Single,29,99,15,Medsize,n,y,n,y,0
RI78966,"7,771",Basic,Master,Medical Leave,M,21876,Suburban,Married,36,72,12,Small,y,y,n,y,0
IC13702,"6,968",Basic,Bachelor,Unemployed,F,0,Suburban,Single,48,63,33,Small,y,y,n,y,0
BE10809,"4,250",Basic,High School or Below,Unemployed,F,0,Suburban,Single,38,91,17,Small,y,n,n,y,1
HT87217,"19,777",Extended,High School or Below,Employed,F,70699,Urban,Divorced,19,126,1,Medsize,n,y,n,y,0
TH95618,"21,343",Basic,High School or Below,Unemployed,F,0,Suburban,Married,28,88,11,Medsize,n,y,n,y,0
TS19868,"2,413",Basic,College,Medical Leave,M,27501,Suburban,Married,37,57,20,Medsize,y,y,n,y,0
LP45550,"15,364",Premium,Doctor,Disabled,F,15897,Urban,Divorced,55,73,30,Medsize,n,y,n,y,0
QR87004,"8,457",Basic,College,Employed,F,25141,Rural,Divorced,39,113,12,Medsize,y,y,n,y,0
OE75747,"2,190",Basic,College,Unemployed,F,0,Suburban,Married,17,91,5,Small,n,y,n,n,1
DX91392,"5,780",Basic,High School or Below,Employed,M,51066,Suburban,Single,42,76,23,Medsize,n,y,n,y,0
AB72731,"4,640",Basic,Bachelor,Employed,F,28358,Rural,Married,34,123,24,Medsize,n,y,n,y,0
RU49126,"4,465",Basic,College,Employed,F,61846,Rural,Married,17,158,1,Medsize,n,y,n,y,0
IS12901,"5,968",Basic,Bachelor,Employed,F,90972,Urban,Married,28,102,3,Medsize,n,y,n,y,0
IX37561,"5,098",Basic,College,Unemployed,F,0,Suburban,Single,17,100,3,Medsize,n,y,n,n,0
HH90090,"4,077",Basic,Bachelor,Employed,F,29549,Suburban,Divorced,28,132,17,Small,n,y,n,y,0
IU25463,"12,253",Premium,Bachelor,Unemployed,F,0,Suburban,Married,33,133,12,Medsize,n,y,n,y,0
KC11055,"16,936",Extended,Bachelor,Employed,F,39411,Suburban,Married,19,263,4,Medsize,y,y,y,y,0
PD33979,"4,892",Basic,High School or Below,Employed,M,21709,Suburban,Married,50,32,28,Large,n,n,n,y,0
NK71023,"9,942",Extended,Bachelor,Employed,M,67890,Suburban,Single,33,71,23,Small,y,n,n,y,0
AB13432,"3,736",Basic,Bachelor,Unemployed,M,0,Suburban,Single,17,156,3,Medsize,n,y,n,y,1
OZ97704,"13,118",Basic,High School or Below,Employed,F,84311,Suburban,Single,26,147,11,Small,y,y,n,y,0
UF46533,"4,575",Basic,College,Employed,F,99316,Suburban,Single,39,120,26,Medsize,n,y,n,y,0
XP47431,"5,470",Extended,Bachelor,Employed,F,54507,Suburban,Married,37,152,20,Medsize,y,y,n,y,0
GK73582,"2,979",Extended,Bachelor,Employed,F,64586,Urban,Single,17,114,3,Medsize,y,y,n,y,0
RV98763,"6,411",Extended,College,Employed,M,61709,Urban,Married,20,112,5,Medsize,n,y,n,y,0
II62831,"4,479",Basic,Master,Employed,M,94656,Urban,Married,21,121,12,Medsize,y,y,n,y,0
XK33449,"2,384",Basic,High School or Below,Unemployed,F,0,Suburban,Single,30,115,5,Small,n,y,n,n,0
TR85083,"2,764",Basic,Bachelor,Employed,M,61085,Suburban,Married,46,60,27,Medsize,y,n,n,y,0
EO95328,"7,920",Basic,Bachelor,Employed,F,89284,Suburban,Married,18,93,7,Small,y,y,y,y,0
EN21086,"6,889",Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,30,85,6,Small,n,y,n,y,0
YL83902,"3,274",Extended,Bachelor,Employed,F,31686,Suburban,Married,38,107,11,Small,n,n,n,y,1
AZ62651,"9,952",Premium,High School or Below,Employed,M,56855,Suburban,Single,32,257,12,Medsize,y,y,n,y,0
ZW25874,"2,522",Basic,Bachelor,Employed,M,53703,Rural,Single,29,111,3,Medsize,y,n,y,y,1
EH41854,"23,706",Extended,High School or Below,Unemployed,F,0,Suburban,Single,20,116,12,Medsize,n,y,n,y,0
MW70227,"6,047",Extended,College,Employed,M,20396,Suburban,Married,26,96,15,Medsize,n,y,n,y,0
SL22297,"11,140",Premium,Master,Disabled,F,27679,Suburban,Single,37,142,30,Medsize,y,y,n,y,0
RV14138,"4,334",Extended,Bachelor,Retired,F,23904,Suburban,Single,17,161,1,Medsize,y,n,n,y,1
UO62808,"2,800",Basic,High School or Below,Employed,F,65351,Suburban,Married,17,93,4,Medsize,y,y,n,y,0
ZX64745,"7,923",Basic,College,Unemployed,M,0,Suburban,Single,30,113,20,Medsize,n,y,n,y,0
FL34139,"3,688",Basic,High School or Below,Unemployed,M,0,Suburban,Single,17,109,0,Medsize,y,y,n,y,0
TS11219,"12,067",Basic,College,Unemployed,M,0,Suburban,Single,39,136,14,Medsize,n,y,n,y,0
XX12304,"2,925",Basic,College,Employed,F,64459,Urban,Married,23,84,16,Medsize,n,y,n,y,1
SD64087,"15,014",Premium,College,Employed,M,32961,Suburban,Married,26,206,13,Small,y,y,n,y,0
OY38576,"9,277",Basic,High School or Below,Employed,F,71416,Suburban,Divorced,36,126,10,Medsize,y,y,n,y,0
BG76355,"6,274",Extended,Bachelor,Employed,F,68964,Rural,Married,24,100,15,Medsize,y,n,n,y,0
IP66913,"3,887",Extended,High School or Below,Employed,M,78108,Suburban,Single,33,118,12,Small,n,n,n,y,0
LE95702,"4,386",Basic,College,Retired,M,10621,Suburban,Single,42,39,28,Medsize,n,y,n,y,0
KX54357,"11,365",Extended,College,Employed,M,84910,Urban,Married,23,141,4,Small,y,y,n,y,0
EZ78112,"5,611",Basic,High School or Below,Employed,F,77493,Urban,Single,17,104,2,Medsize,y,y,n,y,0
XN16891,"2,913",Basic,College,Employed,M,81097,Suburban,Divorced,31,110,7,Small,n,n,n,y,0
XK31350,"6,916",Extended,College,Employed,F,96610,Suburban,Married,17,115,6,Large,n,y,y,y,0
CC30924,"6,263",Premium,College,Employed,M,30110,Urban,Married,27,185,20,Small,n,y,n,y,0
IT78748,"6,503",Extended,High School or Below,Disabled,F,22081,Suburban,Married,17,110,1,Small,y,y,n,y,0
KY33386,"8,007",Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,20,132,12,Medsize,n,y,y,y,0
CO44221,"2,930",Basic,College,Employed,M,98473,Suburban,Married,27,74,19,Medsize,n,y,n,y,0
LK60013,"5,970",Basic,Bachelor,Employed,F,97431,Suburban,Married,23,98,1,Medsize,n,n,n,y,0
DE21533,"5,473",Basic,Bachelor,Employed,M,93870,Suburban,Divorced,17,115,1,Medsize,n,y,n,y,0
YS94121,"5,645",Basic,High School or Below,Employed,M,50366,Suburban,Divorced,17,108,9,Small,n,y,n,y,0
UK68427,"6,369",Extended,High School or Below,Employed,M,34498,Suburban,Single,47,71,30,Small,n,y,n,y,0
TE49565,"11,834",Basic,College,Disabled,F,16552,Suburban,Married,50,93,23,Small,n,y,n,y,0
RA88421,"6,121",Extended,College,Employed,F,26787,Suburban,Married,19,89,7,Medsize,n,n,n,y,1
KQ51983,"5,159",Basic,College,Unemployed,M,0,Suburban,Single,27,120,2,Medsize,n,y,n,y,1
CD88896,"2,515",Basic,High School or Below,Employed,F,43860,Rural,Single,27,77,15,Medsize,y,y,n,y,0
YV22553,"8,669",Basic,High School or Below,Employed,M,21474,Urban,Married,33,120,13,Small,n,n,n,y,1
WU14435,"4,961",Basic,Bachelor,Disabled,M,18174,Suburban,Married,31,86,8,Small,n,y,n,y,1
XV84099,"5,504",Basic,Bachelor,Unemployed,F,0,Suburban,Married,42,85,18,Medsize,y,y,y,y,0
RI24911,"7,507",Basic,College,Employed,M,60920,Urban,Single,23,76,10,Medsize,y,y,n,y,0
KO26461,"32,270",Extended,High School or Below,Employed,M,41520,Urban,Married,31,112,18,Medsize,n,y,n,y,0
HI14283,"5,657",Premium,Bachelor,Unemployed,F,0,Suburban,Married,25,190,12,Small,n,y,n,y,0
PT50227,"5,062",Basic,High School or Below,Unemployed,M,0,Suburban,Married,41,80,19,Medsize,n,y,n,y,0
BH36570,"5,913",Basic,Bachelor,Employed,M,72208,Suburban,Married,18,101,3,Small,n,y,n,y,0
TX17484,"15,182",Basic,Bachelor,Employed,F,53863,Rural,Married,24,77,12,Large,y,y,n,y,0
CT41158,"10,747",Extended,College,Employed,M,66446,Urban,Divorced,27,178,8,Large,n,y,n,y,0
AO87348,"2,051",Basic,College,Unemployed,M,0,Suburban,Single,42,55,18,Small,n,y,y,y,0
DE55857,"2,465",Basic,Bachelor,Employed,F,64997,Suburban,Single,21,75,7,Small,n,n,y,y,1
LF66923,"5,343",Basic,High School or Below,Employed,F,64460,Suburban,Married,38,76,18,Small,n,y,n,y,0
CN24514,"8,120",Basic,College,Employed,F,46618,Rural,Married,48,89,22,Large,y,n,n,n,0
UW32074,"4,605",Basic,College,Unemployed,F,0,Suburban,Divorced,37,68,13,Small,y,y,y,y,1
